Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,
Conv1,32,32,3,3,3,128,1,
Conv2,32,32,3,3,128,128,1,
Conv3,32,32,3,3,128,128,1,
Conv4,32,32,3,3,128,128,1,
Conv5,32,32,3,3,128,128,1,
Conv6,32,32,3,3,128,128,1,
Conv7,32,32,3,3,128,128,1,
Conv8,32,32,3,3,128,256,2,
Conv9,16,16,3,3,256,256,1,
Conv10,16,16,3,3,256,256,1,
Conv11,16,16,3,3,256,256,1,
Conv12,16,16,3,3,256,256,1,
Conv13,16,16,3,3,256,256,1,
Conv14,16,16,3,3,256,512,2,
Conv15,8,8,3,3,512,512,1,
Conv16,8,8,3,3,512,512,1,
Conv17,8,8,3,3,512,512,1,
FC1,1,1,1,1,8192,256,1,
